Variable,Accuracy,Precision (macro),Recall (macro),F1 (macro),Precision (weighted),Recall (weighted),F1 (weighted)
CDM,0.9172674219018194,0.8080324832949308,0.6864407256299219,0.712791016893117,0.9181040454720735,0.9172674219018194,0.9125367090764605
Tipo,0.9691040164778579,0.9595073177294656,0.9640823170954671,0.9613110024453706,0.9697613066105762,0.9691040164778579,0.969077612136255
GRD,0.8146240988671473,0.6343231045228285,0.5843448633502757,0.6025520895586899,0.8152001092661046,0.8146240988671473,0.8117798304139291
