Variable,Accuracy,Precision (macro),Recall (macro),F1 (macro),Precision (weighted),Recall (weighted),F1 (weighted)
CDM,0.9272227943700653,0.8044771606651918,0.7369052039131652,0.7580284330870891,0.9257695374750031,0.9272227943700653,0.9243020900077754
Tipo,0.9725369035358736,0.9593627345268978,0.9723404352678552,0.9653677983166578,0.9729952029102502,0.9725369035358736,0.9725968257967623
GRD,0.8180569859251631,0.597235449671559,0.5725550540323355,0.580265732613137,0.8184742180302517,0.8180569859251631,0.8144482440598544
